Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
469,Troy Williams\willitr02,SF,23,HOU,4,0,4.3,0.5,2.3,0.222,0,1.3,0,0.5,1,0.5,0.222,0.3,0.8,0.333,0.3,0.8,1,0.3,0.3,0,0.3,0.5,1.3
470,Vander Blue\blueva01,SG,25,LAL,5,0,9,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,0.2,0.4,0.5,0,0.2,0.2,0.6,0.2,0,0.6,0.4,0.6
471,Zhou Qi\qizh01,C,22,HOU,14,0,5.4,0.3,1.7,0.167,0.1,1.1,0.133,0.1,0.6,0.222,0.208,0.5,0.7,0.7,0.1,0.8,0.9,0.1,0.1,0.4,0.4,0.9,1.2
472,Nate Wolters\woltena01,PG,26,UTA,5,0,3.8,0.2,1.2,0.167,0,0,,0.2,1.2,0.167,0.167,0,0,,0.2,0.2,0.4,0.2,0,0,0,0.2,0.4
473,Larry Drew\drewla02,PG,27,PHI,3,0,5,0.3,2.3,0.143,0,1,0,0.3,1.3,0.25,0.143,0,0,,0.3,0,0.3,0.7,0,0,0.3,0.7,0.7
474,Kadeem Allen\allenka01,PG,25,BOS,4,0,3.5,0,0.5,0,0,0.5,0,0,0,,0,0.8,1,0.75,0.3,0.3,0.5,0,0.3,0,0.3,0.3,0.8
475,Nicolas Brussino\brussni01,SF,24,ATL,4,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.8,0.8,0,0,0,0,0,0
476,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,3.5,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,0.5,0.5,0,0,0.5,0
477,Jack Cooley\cooleja01,PF,26,SAC,1,0,2,0,1,0,0,0,,0,1,0,0,2,2,1,0,1,1,1,0,0,0,0,2
478,Jarell Eddie\eddieja01,SF,26,BOS,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.5,0.5,0,0.5,0,0,0,0
479,Mindaugas Kuzminskas\kuzmimi01,SF,28,NYK,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
480,Mangok Mathiang\mathima01,C,25,CHO,3,0,3.3,0,0.7,0,0,0,,0,0.7,0,0,0,0,,0.3,1.7,2,0,0,0,0,0.7,0
481,Josh McRoberts\mcrobjo01,PF,30,DAL,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0
482,Luis Montero\montelu01,SG,24,DET,2,0,4,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,1,1,0,0,0,1,0,0
483,Monte Morris\morrimo01,PG,22,DEN,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0
484,Xavier Munford\munfoxa02,SG,25,MIL,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,1,0,1,0,0,0,0,0,0
485,Marcus Paige\paigema01,PG,24,CHO,1,0,3,0,2,0,0,0,,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0
486,London Perrantes\perralo01,PG,23,CLE,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0
487,Davon Reed\reedda01,SG,22,PHO,2,0,6.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0.5,0.5,0.5,0,0,0.5,0.5,0
488,James Webb\webbja01,SF,24,BRK,3,0,12.7,0,2.7,0,0,2.3,0,0,0.3,0,0,0,0,,0.3,0.7,1,0.7,0.3,0,0,1.7,0
489,R.J. Hunter\hunterj01,SG,24,HOU,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,1,0,0,0,0,0
490,Damian Jones\jonesda03,C,22,GSW,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,1,0
491,Tyler Lydon\lydonty01,PF,21,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
492,Ben Moore\moorebe01,PF,22,IND,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0
493,Georges Niang\niangge01,PF,24,UTA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0
