Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
282,Cole Aldrich\aldrico01,C,29,MIN,11,0,2.3,0.3,0.6,0.429,0,0,,0.3,0.6,0.429,0.429,0.2,0.4,0.5,0.2,0.4,0.5,0.1,0.2,0,0.1,0.4,0.7
283,Ryan Arcidiacono\arcidry01,PG,23,CHI,7,0,11,0.4,1,0.429,0.3,0.9,0.333,0.1,0.1,1,0.571,0.3,0.3,1,0,0.4,0.4,1.3,0.4,0,0.1,1.1,1.4
284,Josh Magette\magetjo01,PG,28,ATL,9,0,7.7,0.7,1.6,0.429,0.3,0.7,0.5,0.3,0.9,0.375,0.536,0.7,0.7,1,0.1,0.6,0.7,2,0.2,0,0.2,0.7,2.3
285,Alex Poythress\poythal01,PF,24,IND,21,0,4.3,0.4,1,0.429,0.1,0.4,0.375,0.3,0.6,0.462,0.5,0,0,,0.3,0.3,0.6,0.1,0.1,0,0.1,0.6,1
286,Rashad Vaughn\vaughra01,SG,21,MIL,20,0,8.4,1.1,2.5,0.429,0.7,1.7,0.382,0.4,0.8,0.533,0.561,0.2,0.3,0.667,0.1,0.8,0.8,0.6,0.2,0.2,0.1,0.6,3
287,Ivica Zubac\zubaciv01,C,20,LAL,13,0,3.7,0.5,1.1,0.429,0,0,,0.5,1.1,0.429,0.429,0,0,,0.2,0.5,0.8,0.1,0,0,0.4,0.4,0.9
288,Jeff Teague\teaguje01,PG,29,MIN,43,43,33.3,4.7,11,0.427,1.1,3.2,0.353,3.6,7.9,0.457,0.478,2.5,3,0.809,0.4,2.5,3,6.9,1.5,0.3,2.7,2.7,13
289,Fred VanVleet\vanvlfr01,PG,23,TOR,47,0,18.1,2.7,6.4,0.427,1.1,2.8,0.402,1.6,3.6,0.446,0.515,1,1.2,0.855,0.3,2,2.2,2.8,0.8,0.2,0.9,1.7,7.6
290,Jarrett Jack\jackja01,PG,34,NYK,50,49,26.5,3.2,7.5,0.426,0.4,1.4,0.279,2.8,6.1,0.459,0.452,0.9,1.1,0.789,0.3,3,3.3,6.1,0.6,0.1,1.9,1.8,7.6
291,Tim Hardaway\hardati02,SG,25,NYK,30,27,32.6,6.2,14.5,0.426,2.4,7.1,0.34,3.8,7.4,0.509,0.509,2.7,3.4,0.796,0.6,3.5,4.1,2.9,1.1,0.2,1.5,2,17.5
